"w1","w2","count"
"of","the",33
"in","the",31
"for","the",19
"it","is",10
"one","of",8
"to","the",8
"on","the",7
"over","the",7
"and","the",6
"from","the",6
"all","the",5
"as","a",5
"as","the",5
"i","hope",5
"for","all",4
"from","a",4
"of","my",4
"of","these",4
"to","take",4
"and","their",3
"as","an",3
"by","the",3
"during","the",3
"from","this",3
"hope","that",3
"more","than",3
"my","own",3
"take","the",3
"that","the",3
"that","this",3
"that","was",3
"to","a",3
"to","win",3
"was","a",3
"across","the",2
"and","by",2
"but","not",2
"different","than",2
"in","over",2
"like","the",2
"not","for",2
"of","others",2
"of","such",2
"organization","and",2
"the","point",2
"the","time",2
"they","were",2
"time","and",2
"was","not",2
"within","the",2
