"w1","w2","count"
"of","the",316
"in","the",126
"it","is",121
"to","the",103
"will","be",89
"to","be",81
"for","the",77
"that","the",70
"by","the",61
"is","not",55
"and","the",53
"would","be",53
"as","a",49
"in","a",49
"is","a",47
"of","a",46
"with","the",45
"on","the",42
"there","is",42
"to","make",36
"to","a",34
"from","the",32
"have","been",32
"if","the",32
"it","would",32
"of","our",32
"people","who",30
"have","a",29
"are","not",28
"is","the",28
"we","have",28
"is","no",26
"of","their",25
"some","of",24
"we","are",24
"of","freedom",23
"be","a",22
"not","be",22
"this","is",22
"into","the",21
"society","and",21
"those","who",20
"cannot","be",19
"they","will",19
"will","have",19
"able","to",17
"is","to",17
"on","a",17
"that","we",17
"with","a",17
"a","new",16
"be","able",16
"to","satisfy",16
"will","not",16
"he","has",15
"we","will",15
"when","the",15
"who","are",15
"a","sense",14
"but","we",14
"his","own",14
"out","of",14
"they","have",14
"to","which",14
"as","we",13
"at","the",13
"into","a",13
"long","as",13
"of","life",13
"there","are",13
"to","take",13
"we","can",13
"all","of",12
"as","long",12
"as","the",12
"be","satisfied",12
"many","of",12
"to","go",12
"freedom","and",11
"the","american",11
"as","well",10
"be","made",10
"that","their",10
"freedom","is",9
"pursuit","of",9
"that","one",9
"the","old",9
"we","must",9
"a","great",8
"and","a",8
"and","we",8
"but","a",8
"for","freedom",8
"instead","of",8
"is","an",8
"never","be",8
"of","its",8
"take","the",8
"the","long",8
"be","the",7
"can","never",7
"come","to",7
"for","many",7
"in","his",7
"later","the",7
"live","in",7
"not","only",7
"of","this",7
"process","of",7
"that","there",7
"the","process",7
"to","work",7
"until","the",7
"well","as",7
"you","have",7
"believe","that",6
"but","by",6
"children","are",6
"from","a",6
"in","america",6
"let","us",6
"of","independence",6
"that","all",6
"that","some",6
"the","time",6
"there","will",6
"to","believe",6
"to","our",6
"today","in",6
"when","we",6
"years","ago",6
"american","society",5
"and","will",5
"continue","to",5
"even","though",5
"for","which",5
"freedom","in",5
"had","been",5
"make","the",5
"needed","to",5
"of","all",5
"or","to",5
"so","we",5
"the","life",5
"the","pursuit",5
"the","state",5
"they","were",5
"this","will",5
"was","a",5
"will","continue",5
"with","this",5
"and","all",4
"and","if",4
"and","when",4
"and","white",4
"are","those",4
"but","not",4
"but","one",4
"but","there",4
"by","their",4
"even","the",4
"force","the",4
"given","the",4
"go","to",4
"is","something",4
"life","of",4
"like","a",4
"must","not",4
"of","gods",4
"of","new",4
"that","will",4
"this","faith",4
"us","to",4
"are","concerned",3
"down","in",3
"engage","in",3
"for","all",3
"foundations","of",3
"freedom","we",3
"is","obvious",3
"is","still",3
"land","of",3
"new","york",3
"of","american",3
"of","material",3
"on","this",3
"our","freedom",3
"people","a",3
"physical","violence",3
"realize","that",3
"refuse","to",3
"rights","of",3
"satisfied","until",3
"something","that",3
"stand","up",3
"the","cities",3
"the","foundations",3
"the","greatest",3
"the","nation",3
"the","true",3
"the","words",3
"this","happens",3
"to","end",3
"to","sit",3
"today","and",3
"up","and",3
"up","for",3
"where","they",3
"which","has",3
"white","people",3
"will","give",3
"a","bad",2
"a","nation",2
"again","and",2
"an","end",2
"and","again",2
"are","insufficient",2
"as","white",2
"be","free",2
"been","the",2
"bound","to",2
"come","from",2
"content","of",2
"declaration","of",2
"deeply","rooted",2
"difficulties","of",2
"dignity","and",2
"end","but",2
"freedom","to",2
"guilty","of",2
"has","nothing",2
"have","also",2
"history","as",2
"history","of",2
"hope","that",2
"in","what",2
"into","an",2
"is","granted",2
"is","tied",2
"land","so",2
"let","it",2
"nation","will",2
"of","dignity",2
"of","great",2
"of","opportunity",2
"only","we",2
"out","the",2
"people","for",2
"rise","to",2
"satisfied","we",2
"security","of",2
"so","even",2
"state","and",2
"the","constitution",2
"the","content",2
"the","declaration",2
"the","high",2
"the","moment",2
"the","security",2
"though","we",2
"to","fall",2
"to","struggle",2
"to","this",2
"today","to",2
"up","with",2
"victim","of",2
"was","to",2
"we","shall",2
"what","will",2
"which","leads",2
"which","to",2
"who","had",2
"with","little",2
