"w1","w2","count"
"of","the",100
"in","the",74
"it","is",57
"to","the",46
"on","the",31
"for","the",24
"from","the",23
"that","the",19
"by","the",18
"and","the",14
"as","the",13
"to","a",13
"of","my",12
"all","the",11
"that","this",9
"as","a",8
"as","to",8
"from","a",8
"more","than",8
"over","the",7
"the","point",7
"its","own",6
"one","of",6
"during","the",5
"of","these",5
"so","that",5
"and","their",4
"for","all",4
"such","an",4
"they","were",4
"time","and",4
"and","by",3
"like","the",3
"not","for",3
"the","time",3
"to","my",3
"to","take",3
"why","i",3
"within","the",3
"a","particular",2
"across","the",2
"and","ever",2
"and","other",2
"and","they",2
"as","an",2
"based","on",2
"because","such",2
"but","not",2
"clear","as",2
"decided","to",2
"equivalent","to",2
"from","this",2
"from","us",2
"heads","of",2
"hope","that",2
"i","decided",2
"is","one",2
"limited","to",2
"my","own",2
"no","more",2
"of","conduct",2
"or","other",2
"point","where",2
"take","the",2
"the","heads",2
"the","preceding",2
"to","win",2
"was","a",2
"was","not",2
