"w1","w2","count"
"of","the",27
"in","the",19
"and","the",14
"have","a",13
"men","and",13
"of","our",13
"to","the",13
"from","the",12
"able","to",10
"to","be",10
"be","able",9
"is","the",9
"on","the",8
"some","of",8
"as","a",7
"by","the",7
"we","can",7
"as","long",6
"for","the",6
"long","as",6
"of","their",6
"that","we",6
"we","have",6
"with","the",6
"men","are",5
"that","the",5
"this","is",5
"and","we",4
"as","the",4
"but","we",4
"can","never",4
"not","be",4
"of","this",4
"that","all",4
"that","i",4
"to","our",4
"all","men",3
"in","a",3
"is","not",3
"many","of",3
"of","its",3
"realize","that",3
"those","who",3
"to","a",3
"to","make",3
"to","take",3
"to","work",3
"which","has",3
"with","a",3
"with","its",3
"would","be",3
"am","not",2
"and","a",2
"and","if",2
"as","we",2
"but","not",2
"happy","to",2
"have","been",2
"into","the",2
"judged","by",2
"not","lead",2
"of","a",2
"of","discrimination",2
"on","a",2
"out","the",2
"people","who",2
"that","some",2
"to","this",2
"up","and",2
"us","to",2
"who","are",2
