"w1","w2","count"
"of","the",129
"in","the",103
"to","be",69
"it","is",65
"to","the",48
"for","the",41
"on","the",36
"of","a",34
"i","am",32
"in","a",30
"to","me",29
"from","the",27
"is","the",26
"at","the",25
"i","have",25
"that","i",23
"does","not",22
"there","is",22
"the","most",21
"a","few",20
"he","is",20
"of","this",20
"of","which",20
"that","the",20
"and","i",19
"by","the",19
"has","been",19
"in","this",19
"is","a",19
"it","was",19
"me","to",19
"this","is",19
"to","make",19
"with","a",19
"and","the",18
"the","first",18
"will","be",18
"have","to",17
"i","was",17
"that","it",17
"with","the",17
"as","the",16
"that","he",16
"they","are",16
"have","been",15
"he","will",15
"of","our",15
"that","is",15
"the","other",15
"the","same",15
"about","the",14
"all","the",14
"and","that",14
"as","i",14
"i","would",14
"is","to",14
"of","my",14
"to","a",14
"what","i",14
"what","is",14
"you","have",14
"if","you",13
"it","has",13
"not","to",13
"of","it",13
"part","of",13
"we","have",13
"would","be",13
"in","his",12
"one","of",12
"over","the",12
"the","only",12
"and","a",11
"as","a",11
"be","the",11
"can","be",11
"in","fact",11
"kind","of",11
"may","be",11
"there","are",11
"to","do",11
"to","have",11
"to","our",11
"to","you",11
"which","we",11
"but","the",10
"from","a",10
"i","could",10
"that","this",10
"to","it",10
"which","is",10
"you","will",10
"a","great",9
"a","new",9
"it","may",9
"more","than",9
"this","kind",9
"to","us",9
"we","are",9
"and","his",8
"are","the",8
"as","it",8
"at","least",8
"because","it",8
"for","a",8
"for","me",8
"he","was",8
"i","can",8
"in","our",8
"is","no",8
"me","that",8
"of","any",8
"of","their",8
"one","is",8
"such","a",8
"that","in",8
"the","best",8
"trying","to",8
"way","to",8
"would","have",8
"able","to",7
"and","more",7
"as","well",7
"at","a",7
"but","it",7
"end","of",7
"for","it",7
"great","deal",7
"had","been",7
"into","a",7
"is","an",7
"no","longer",7
"not","a",7
"of","all",7
"of","these",7
"seems","to",7
"so","many",7
"that","we",7
"the","end",7
"the","fact",7
"the","long",7
"the","point",7
"the","world",7
"to","all",7
"to","get",7
"to","say",7
"with","an",7
"a","man",6
"a","whole",6
"and","its",6
"but","its",6
"by","which",6
"come","to",6
"during","the",6
"each","of",6
"for","all",6
"he","does",6
"in","your",6
"it","and",6
"it","in",6
"much","more",6
"not","the",6
"of","those",6
"of","us",6
"one","that",6
"out","of",6
"out","to",6
"thank","you",6
"that","are",6
"the","more",6
"the","past",6
"the","two",6
"to","find",6
"to","keep",6
"to","this",6
"try","to",6
"up","to",6
