"w1","w2","count"
"of","the",402
"in","the",188
"it","is",175
"to","the",141
"to","be",122
"for","the",99
"will","be",88
"that","the",86
"is","not",75
"of","a",74
"by","the",73
"on","the",69
"in","a",66
"is","a",60
"would","be",60
"there","is",59
"and","the",58
"as","a",53
"may","be",53
"that","is",53
"with","the",53
"to","make",50
"for","example",49
"they","are",48
"does","not",46
"from","the",46
"is","the",45
"to","a",44
"he","is",41
"have","been",40
"that","they",39
"have","to",38
"can","be",37
"if","the",37
"so","that",37
"the","most",36
"are","not",35
"do","not",35
"it","would",35
"that","it",35
"the","same",35
"has","been",34
"to","have",34
"in","which",33
"such","a",33
"than","the",32
"is","no",31
"it","will",31
"this","is",31
"kind","of",30
"of","our",30
"the","human",30
"we","are",30
"and","that",29
"we","have",29
"which","the",29
"in","this",28
"with","a",28
"but","it",27
"it","may",27
"he","has",26
"of","his",26
"the","other",26
"at","least",25
"but","the",25
"it","does",25
"of","which",25
"that","he",25
"to","do",25
"about","the",24
"at","the",24
"be","a",24
"it","was",24
"of","their",24
"of","this",24
"that","are",24
"the","first",24
"the","mind",24
"would","have",24
"such","as",23
"tend","to",23
"the","way",23
"those","who",23
"for","a",22
"into","the",22
"not","be",22
"number","of",22
"a","long",21
"as","the",21
"as","to",21
"in","order",21
"is","that",21
"must","be",21
"they","will",21
"and","more",20
"have","a",20
"is","to",20
"on","a",20
"order","to",20
"seem","to",20
"that","we",20
"there","are",20
"to","which",20
"will","have",20
"would","not",20
"a","whole",19
"all","the",19
"and","in",19
"because","it",19
"he","will",19
"in","our",19
"is","in",19
"most","of",19
"not","the",19
"of","these",19
"the","fact",19
"want","to",19
"a","new",18
"cannot","be",18
"fact","that",18
"it","to",18
"more","than",18
"no","longer",18
"not","necessarily",18
"of","any",18
"the","only",18
"the","world",18
"through","the",18
"to","use",18
"a","few",17
"because","they",17
"by","a",17
"enough","to",17
"not","to",17
"one","of",17
"part","of",17
"should","be",17
"tends","to",17
"that","a",17
"to","get",17
"to","satisfy",17
"and","it",16
"and","so",16
"could","be",16
"in","his",16
"in","such",16
"into","a",16
"it","has",16
"of","course",16
"of","it",16
"of","life",16
"that","in",16
"the","more",16
"to","give",16
"when","the",16
"which","we",16
"who","are",16
"able","to",15
"as","it",15
"but","in",15
"has","to",15
"his","own",15
"if","he",15
"in","fact",15
"in","many",15
"more","and",15
"more","or",15
"or","less",15
"out","of",15
"over","the",15
"system","is",15
"that","of",15
"that","this",15
"their","work",15
"they","have",15
"what","is",15
"will","not",15
"a","certain",14
"a","sense",14
"a","very",14
"be","the",14
"because","of",14
"but","we",14
"for","them",14
"in","any",14
"in","their",14
"of","its",14
"only","a",14
"to","go",14
"to","take",14
"trying","to",14
"under","the",14
"up","to",14
"way","of",14
"what","i",14
"which","is",14
"and","of",13
"as","we",13
"as","well",13
"far","more",13
"if","they",13
"is","more",13
"is","true",13
"man","is",13
"not","a",13
"not","have",13
"rather","than",13
"the","case",13
"the","extent",13
"to","it",13
"to","say",13
"with","which",13
"against","the",12
"and","other",12
"any","other",12
"as","an",12
"control","of",12
"degree","of",12
"from","a",12
"how","to",12
"in","some",12
"is","an",12
"it","can",12
"or","the",12
"people","are",12
"than","a",12
"the","next",12
"thus","the",12
"to","them",12
"we","do",12
"a","great",11
"a","small",11
"according","to",11
"all","of",11
"amount","of",11
"and","a",11
"and","for",11
"and","his",11
"are","the",11
"as","they",11
"believe","in",11
"for","him",11
"going","to",11
"he","does",11
"him","to",11
"if","one",11
"in","its",11
"make","a",11
"of","an",11
"problems","of",11
"so","far",11
"that","there",11
"them","to",11
"to","us",11
"try","to",11
"us","to",11
"we","can",11
"what","we",11
"with","an",11
"and","to",10
"because","he",10
"believe","that",10
"development","of",10
"far","as",10
"generally","speaking",10
"has","a",10
"if","a",10
"lack","of",10
"like","to",10
"most","important",10
"no","one",10
"not","in",10
"of","all",10
"of","that",10
"of","what",10
"only","to",10
"question","of",10
"result","of",10
"seems","to",10
"since","the",10
"the","new",10
"the","whole",10
"there","were",10
"they","do",10
"time","and",10
"to","avoid",10
"to","keep",10
"use","of",10
"who","have",10
"within","the",10
"a","large",9
"a","man",9
"after","the",9
"and","as",9
"and","he",9
"and","if",9
"and","this",9
"and","we",9
"are","more",9
"be","able",9
"be","so",9
"but","a",9
"by","which",9
"did","not",9
"due","to",9
"during","the",9
"have","had",9
"in","that",9
"instead","of",9
"is","only",9
"itself","to",9
"kinds","of",9
"long","as",9
"means","of",9
"need","to",9
"not","only",9
"of","them",9
"one","can",9
"one","has",9
"only","the",9
"or","not",9
"reason","to",9
"respect","to",9
"than","to",9
"that","their",9
"the","modern",9
"the","past",9
"the","two",9
"to","attain",9
"to","believe",9
"to","their",9
"to","those",9
"true","that",9
"which","are",9
"which","he",9
"with","respect",9
"a","person",8
"among","the",8
"and","its",8
"and","such",8
"and","there",8
"as","for",8
"as","long",8
"at","a",8
"be","made",8
"be","that",8
"but","this",8
"case","of",8
"creation","of",8
"each","of",8
"extent","that",8
"for","this",8
"functioning","of",8
"great","deal",8
"had","been",8
"has","no",8
"has","not",8
"he","can",8
"he","was",8
"if","it",8
"if","you",8
"impossible","to",8
"in","all",8
"is","because",8
"is","of",8
"is","too",8
"it","in",8
"it","the",8
"its","own",8
"leads","to",8
"let","us",8
"long","and",8
"may","not",8
"nature","of",8
"of","us",8
"one","another",8
"one","is",8
"or","because",8
"problem","of",8
"say","that",8
"seemed","to",8
"series","of",8
"set","up",8
"so","it",8
"so","many",8
"sort","of",8
"take","the",8
"that","all",8
"that","were",8
