"X","participantID_anonymous","reward","assignmentid","assignmentaccepttime","assignmentsubmittime","response","confidence","trivialArgument","argtype","qnumber","property","p1animal","p2animal","cows","chimps","gorillas","mice","squirrels","elephants","seals","rhinos","dolphins","horses","mammals","animals","modal","rt","premisecode","language"
1,"participant 219","$0.40","2XNP3TVOK5UFQX3NQF5O4FYR7HS63X","Fri Dec 30 10:59:23 PST 2011","Fri Dec 30 11:03:48 PST 2011","accept",5,"false","contingent",0,"require trace amounts of magnesium for reproduction","gorillas","rhinos",0,0,1,0,0,0,0,1,0,0,0,0,"certain",12399,"pc001000010000","English"
2,"participant 219","$0.40","2XNP3TVOK5UFQX3NQF5O4FYR7HS63X","Fri Dec 30 10:59:23 PST 2011","Fri Dec 30 11:03:48 PST 2011","accept",4,"false","contingent",1,"use norephinephrine as a regulator of sexual drive","seals","squirrels",0,0,0,0,1,0,1,0,0,0,0,0,"plausible",12813,"pc000010100000","English"
3,"participant 219","$0.40","2XNP3TVOK5UFQX3NQF5O4FYR7HS63X","Fri Dec 30 10:59:23 PST 2011","Fri Dec 30 11:03:48 PST 2011","accept",5,"true","inclusion",2,"require oxydilic acid for good digestion","animals","cows",1,0,0,0,0,0,0,0,0,0,0,1,"probable",9406,"pc100000000001","English"
4,"participant 219","$0.40","2XNP3TVOK5UFQX3NQF5O4FYR7HS63X","Fri Dec 30 10:59:23 PST 2011","Fri Dec 30 11:03:48 PST 2011","accept",5,"true","identity",3,"secrete uric acid crystals","chimps","horses",0,1,0,0,0,0,0,0,0,1,0,0,"necessary",19884,"pc010000000100","English"
5,"participant 219","$0.40","2XNP3TVOK5UFQX3NQF5O4FYR7HS63X","Fri Dec 30 10:59:23 PST 2011","Fri Dec 30 11:03:48 PST 2011","accept",4,"false","contingent",4,"have a tympanic membrane in their inner ears","dolphins","elephants",0,0,0,0,0,1,0,0,1,0,0,0,"none",8985,"pc000001001000","English"
6,"participant 219","$0.40","2XNP3TVOK5UFQX3NQF5O4FYR7HS63X","Fri Dec 30 10:59:23 PST 2011","Fri Dec 30 11:03:48 PST 2011","accept",5,"false","contingent",5,"have seasmoid bones","gorillas","seals",0,0,1,0,0,0,1,0,0,0,0,0,"possible",7836,"pc001000100000","English"
7,"participant 219","$0.40","2XNP3TVOK5UFQX3NQF5O4FYR7HS63X","Fri Dec 30 10:59:23 PST 2011","Fri Dec 30 11:03:48 PST 2011","accept",3,"false","contingent",6,"have enzyme X132 in their bloodstreams","chimps","cows",1,1,0,0,0,0,0,0,0,0,0,0,"likely",7648,"pc110000000000","English"
8,"participant 219","$0.40","2XNP3TVOK5UFQX3NQF5O4FYR7HS63X","Fri Dec 30 10:59:23 PST 2011","Fri Dec 30 11:03:48 PST 2011","accept",5,"false","contingent",7,"have blood salinity which declines from infancy to maturity","elephants","mice",0,0,0,1,0,1,0,0,0,0,0,0,"plausible",12176,"pc000101000000","English"
9,"participant 219","$0.40","2XNP3TVOK5UFQX3NQF5O4FYR7HS63X","Fri Dec 30 10:59:23 PST 2011","Fri Dec 30 11:03:48 PST 2011","reject",4,"false","contingent",8,"continuously shed their outer keratin layer","rhinos","dolphins",0,0,0,0,0,0,0,1,1,0,0,0,"necessary",10710,"pc000000011000","English"
10,"participant 219","$0.40","2XNP3TVOK5UFQX3NQF5O4FYR7HS63X","Fri Dec 30 10:59:23 PST 2011","Fri Dec 30 11:03:48 PST 2011","reject",2,"false","contingent",9,"have a blood PH of 7.9","squirrels","cows",1,0,0,0,1,0,0,0,0,0,0,0,"certain",5924,"pc100010000000","English"
11,"participant 219","$0.40","2XNP3TVOK5UFQX3NQF5O4FYR7HS63X","Fri Dec 30 10:59:23 PST 2011","Fri Dec 30 11:03:48 PST 2011","accept",4,"true","identity",10,"use acetylcholine as a neurotransmitter","mice","horses",0,0,0,1,0,0,0,0,0,1,0,0,"probable",6822,"pc000100000100","English"
12,"participant 219","$0.40","2XNP3TVOK5UFQX3NQF5O4FYR7HS63X","Fri Dec 30 10:59:23 PST 2011","Fri Dec 30 11:03:48 PST 2011","reject",3,"false","contingent",11,"use adipose tissue to synthesize triacylglycerols","dolphins","seals",0,0,0,0,0,0,1,0,1,0,0,0,"likely",10112,"pc000000101000","English"
13,"participant 219","$0.40","2XNP3TVOK5UFQX3NQF5O4FYR7HS63X","Fri Dec 30 10:59:23 PST 2011","Fri Dec 30 11:03:48 PST 2011","accept",4,"false","contingent",12,"use enzyme B-32 to digest food","elephants","chimps",0,1,0,0,0,1,0,0,0,0,0,0,"possible",6589,"pc010001000000","English"
14,"participant 219","$0.40","2XNP3TVOK5UFQX3NQF5O4FYR7HS63X","Fri Dec 30 10:59:23 PST 2011","Fri Dec 30 11:03:48 PST 2011","accept",5,"false","contingent",13,"become disoriented and motionless when exposed to high ozone levels","rhinos","gorillas",0,0,1,0,0,0,0,1,0,0,0,0,"none",7069,"pc001000010000","English"
15,"participant 219","$0.40","2XNP3TVOK5UFQX3NQF5O4FYR7HS63X","Fri Dec 30 10:59:23 PST 2011","Fri Dec 30 11:03:48 PST 2011","accept",4,"false","contingent",14,"require biotin for hemoglobin synthesis","chimps","seals",0,1,0,0,0,0,1,0,0,0,0,0,"none",5546,"pc010000100000","English"
