"w1","w2","count"
"of","the",15
"in","the",14
"by","the",8
"more","than",8
"one","of",8
"to","the",8
"and","they",7
"for","the",7
"and","the",5
"as","a",5
"over","the",5
"was","a",5
"on","the",4
"that","was",4
"all","the",3
"and","by",3
"as","the",3
"i","hope",3
"it","is",3
"the","federal",3
"to","win",3
"across","the",2
"as","an",2
"decided","to",2
"during","the",2
"federal","government",2
"from","the",2
"hope","that",2
"is","one",2
"like","the",2
"of","these",2
"that","the",2
"the","time",2
"they","were",2
"time","and",2
"to","take",2
"violence","and",2
