"w1","w2","count"
"human","nature",7
"political","correctness",7
"can","never",5
"get","ahead",3
"people","generally",3
"personality","traits",3
"social","scientists",3
"can","easily",2
"can","make",2
"can","remove",2
"dont","think",2
"iq","tests",2
"less","clear",2
"less","satisfying",2
"makes","us",2
"many","things",2
"many","ways",2
"often","require",2
"one","side",2
"politically","correct",2
"self","reliance",2
"stress","reduction",2
"two","differences",2
"will","inevitably",2
"women","may",2
