"w1","w2","count"
"of","the",335
"in","the",145
"it","is",128
"to","be",105
"to","the",103
"for","the",94
"will","be",78
"that","the",70
"by","the",58
"in","a",58
"would","be",55
"is","a",51
"and","the",50
"as","a",50
"of","a",50
"that","is",46
"have","to",45
"on","the",45
"may","be",44
"with","the",44
"there","is",43
"have","been",37
"of","our",37
"to","make",37
"can","be",36
"to","have",35
"they","are",34
"to","a",34
"we","have",32
"it","will",31
"the","same",30
"from","the",29
"kind","of",29
"is","no",27
"such","a",27
"does","not",26
"is","to",26
"that","are",26
"this","is",26
"at","the",25
"has","been",25
"is","the",25
"the","most",25
"but","it",24
"of","their",24
"some","of",24
"that","it",24
"to","do",24
"be","a",23
"but","the",23
"he","is",23
"in","our",23
"we","are",23
"with","a",23
"to","get",22
"a","few",21
"a","new",21
"into","the",21
"a","long",20
"for","a",20
"have","a",20
"is","that",20
"it","may",20
"want","to",20
"will","have",20
"would","have",20
"and","that",19
"at","least",19
"one","of",19
"about","the",18
"even","if",18
"many","of",18
"most","of",18
"most","people",18
"of","these",18
"a","way",17
"a","whole",17
"by","a",17
"should","be",17
"that","we",17
"the","other",17
"because","they",16
"in","such",16
"long","term",16
"part","of",16
"the","first",16
"and","it",15
"and","more",15
"as","we",15
"has","to",15
"in","this",15
"into","a",15
"no","longer",15
"not","the",15
"out","of",15
"over","the",15
"that","a",15
"that","he",15
"the","world",15
"to","take",15
"when","the",15
"and","a",14
"but","we",14
"could","be",14
"enough","to",14
"in","any",14
"in","their",14
"of","any",14
"the","fact",14
"the","only",14
"they","have",14
"to","give",14
"all","the",13
"as","an",13
"as","the",13
"because","it",13
"if","they",13
"in","part",13
"more","than",13
"of","course",13
"rather","than",13
"the","long",13
"there","are",13
"way","of",13
"all","of",12
"as","well",12
"because","of",12
"how","to",12
"necessary","to",12
"only","one",12
"the","more",12
"the","next",12
"they","would",12
"through","a",12
"to","our",12
"to","solve",12
"we","can",12
"we","do",12
"you","have",12
"a","very",11
"against","the",11
"as","it",11
"at","a",11
"lead","to",11
"likely","to",11
"need","to",11
"no","one",11
"that","many",11
"years","ago",11
"able","to",10
"and","we",10
"designed","to",10
"has","a",10
"in","some",10
"is","true",10
"make","a",10
"might","be",10
"not","a",10
"not","have",10
"of","us",10
"that","can",10
"that","in",10
"the","whole",10
"them","to",10
"those","that",10
"to","say",10
"up","to",10
"and","for",9
"are","the",9
"as","they",9
"be","the",9
"but","a",9
"but","this",9
"if","you",9
"is","an",9
"it","has",9
"reason","to",9
"take","the",9
"that","this",9
"the","kind",9
"the","past",9
"the","th",9
"to","them",9
"use","of",9
"what","we",9
"who","have",9
"within","the",9
"you","cant",9
"a","great",8
"and","its",8
"and","then",8
"and","to",8
"are","in",8
"because","he",8
"but","for",8
"for","many",8
"from","a",8
"going","to",8
"have","had",8
"in","his",8
"in","that",8
"it","in",8
"not","to",8
"of","this",8
"of","those",8
"of","what",8
"on","their",8
"one","can",8
"or","a",8
"parts","of",8
"set","up",8
"sort","of",8
"that","if",8
"the","public",8
"think","that",8
"time","and",8
"to","keep",8
"to","that",8
"to","think",8
"trying","to",8
"way","to",8
"we","think",8
"when","we",8
"a","goal",7
"all","that",7
"and","make",7
"be","more",7
"clear","that",7
"during","the",7
"had","been",7
"he","does",7
"is","so",7
"it","was",7
"make","them",7
"of","it",7
"of","that",7
"of","which",7
"or","not",7
"people","of",7
"the","second",7
"the","two",7
"them","in",7
"they","can",7
"things","that",7
"to","build",7
"to","gain",7
"to","it",7
"to","see",7
"to","those",7
"try","to",7
"way","that",7
"we","dont",7
"well","as",7
"were","not",7
"what","kind",7
"which","we",7
"a","good",6
"a","lot",6
"and","by",6
"and","have",6
"and","this",6
"be","used",6
"but","by",6
"but","to",6
"each","of",6
"for","most",6
"for","this",6
"had","a",6
"he","will",6
"if","we",6
"in","fact",6
"in","ways",6
"in","your",6
"is","likely",6
"is","of",6
"just","as",6
"lot","of",6
"needed","to",6
"needs","to",6
"not","by",6
"of","them",6
"one","has",6
"one","that",6
"out","that",6
"power","to",6
"science","and",6
"see","the",6
"that","some",6
"the","best",6
"the","goal",6
"the","good",6
"the","things",6
"the","third",6
"then","the",6
"there","will",6
"these","things",6
"this","was",6
"to","develop",6
"to","find",6
"to","live",6
"to","some",6
"to","us",6
"to","work",6
"wants","to",6
"was","a",6
"which","is",6
"will","happen",6
"with","an",6
"a","couple",5
"a","man",5
"about","what",5
"an","organization",5
"and","his",5
"and","many",5
"and","their",5
"are","a",5
"at","that",5
"attempt","to",5
"away","from",5
"be","done",5
"better","than",5
"build","a",5
"by","which",5
"couple","of",5
"different","from",5
"end","of",5
"for","all",5
"for","an",5
"for","one",5
"for","our",5
"for","you",5
"forced","to",5
"given","the",5
"goal","is",5
"great","deal",5
"has","not",5
"have","the",5
"how","much",5
"if","it",5
"in","advance",5
"in","those",5
"is","often",5
"it","becomes",5
"it","from",5
"its","not",5
"let","us",5
"long","run",5
"make","it",5
"make","the",5
"methods","of",5
"money","and",5
"much","of",5
"new","york",5
"now","that",5
"of","all",5
"of","history",5
"on","your",5
"position","to",5
"problems","in",5
"search","for",5
"seems","to",5
"serve","as",5
"that","could",5
"that","has",5
"the","life",5
"the","media",5
"they","did",5
"they","were",5
"this","kind",5
"this","may",5
"this","way",5
"to","move",5
"to","play",5
"used","to",5
"what","is",5
"when","they",5
"who","will",5
"willing","to",5
"within","a",5
"you","can",5
"you","think",5
"a","decision",4
"a","deep",4
"a","non",4
"a","world",4
"about","it",4
"about","their",4
"along","with",4
"and","has",4
"and","less",4
"and","most",4
"and","was",4
"anything","but",4
"are","just",4
"are","those",4
"are","to",4
"are","useful",4
"as","part",4
"be","less",4
"be","wrong",4
"been","a",4
"but","not",4
"by","their",4
"chance","of",4
"choose","to",4
"content","to",4
"continue","to",4
"control","is",4
"decisions","that",4
"do","in",4
"do","it",4
"dont","have",4
"down","the",4
"effort","to",4
"efforts","to",4
