"w1","w2","count"
"of","the",110
"in","the",84
"it","is",58
"to","the",48
"to","be",45
"on","the",33
"i","have",32
"from","the",30
"i","am",30
"of","a",30
"is","the",29
"will","be",29
"for","the",24
"is","not",24
"by","the",22
"and","the",21
"in","a",21
"there","is",21
"that","i",20
"that","the",20
"of","this",19
"to","make",18
"with","the",18
"as","the",15
"is","a",15
"this","is",15
"able","to",14
"to","a",14
"at","the",13
"have","a",13
"he","has",13
"with","a",13
"a","dream",12
"back","to",11
"in","his",11
"the","marvelous",11
"there","are",11
"would","be",11
"as","a",10
"come","to",10
"have","been",10
"of","our",10
"we","are",10
"a","great",9
"are","not",9
"be","able",9
"be","the",9
"of","their",9
"one","day",9
"state","of",9
"to","you",9
"us","to",9
"we","have",9
"you","have",9
"believe","that",8
"from","a",8
"go","back",8
"of","its",8
"that","one",8
"to","which",8
"and","if",7
"dream","that",7
"if","the",7
"is","no",7
"of","all",7
"shall","be",7
"that","we",7
"those","who",7
"time","to",7
"to","believe",7
"we","must",7
"as","long",6
"from","every",6
"is","an",6
"is","still",6
"let","us",6
"long","as",6
"not","be",6
"that","all",6
"that","there",6
"the","time",6
"all","of",5
"am","not",5
"and","a",5
"as","well",5
"had","been",5
"into","a",5
"is","to",5
"it","would",5
"of","life",5
"on","a",5
"out","of",5
"refuse","to",5
"the","words",5
"to","our",5
"to","this",5
"will","not",5
"a","new",4
"be","a",4
"be","made",4
"for","all",4
"i","must",4
"must","not",4
"not","only",4
"say","to",4
"they","were",4
"they","will",4
"to","go",4
"up","with",4
"was","to",4
"we","can",4
"with","this",4
"a","bad",3
"a","state",3
"and","all",3
"and","we",3
"and","white",3
"and","will",3
"but","a",3
"by","their",3
"cannot","be",3
"come","back",3
"continue","to",3
"even","the",3
"guilty","of",3
"his","own",3
"i","still",3
"instead","of",3
"into","the",3
"like","a",3
"make","the",3
"midst","of",3
"my","friends",3
"not","allow",3
"or","to",3
"that","their",3
"that","will",3
"the","great",3
"the","midst",3
"the","true",3
"their","freedom",3
"they","have",3
"to","end",3
"to","my",3
"to","satisfy",3
"to","take",3
"to","work",3
"today","i",3
"us","not",3
"when","all",3
"when","the",3
"when","we",3
"which","has",3
"who","are",3
"will","give",3
"will","have",3
"with","its",3
"a","beautiful",2
"a","sense",2
"an","end",2
"and","tribulations",2
"are","concerned",2
"are","those",2
"as","evidenced",2
"as","we",2
"asking","the",2
"be","judged",2
"be","revealed",2
"but","not",2
"but","there",2
"but","we",2
"children","are",2
"color","of",2
"dream","it",2
"even","though",2
"evidenced","by",2
"given","the",2
"has","nothing",2
"hope","that",2
"hope","this",2
"hope","to",2
"i","say",2
"in","what",2
"island","of",2
"light","of",2
"men","and",2
"night","of",2
"no","time",2
"nothing","for",2
"on","this",2
"plane","of",2
"poverty","in",2
"rise","to",2
"shadow","we",2
"shall","always",2
"something","that",2
"stripped","of",2
"take","the",2
"thank","god",2
"that","day",2
"the","color",2
"the","greatest",2
"the","long",2
"the","lord",2
"the","moment",2
"the","state",2
"the","storms",2
"there","will",2
"this","will",2
"though","we",2
"to","blow",2
"to","fall",2
"to","lift",2
"to","rise",2
"today","in",2
"today","to",2
"trials","and",2
"turn","back",2
"up","and",2
"was","a",2
"we","hold",2
"well","as",2
"what","will",2
"when","will",2
"where","they",2
"who","had",2
"will","go",2
"will","one",2
"with","our",2
