"w1","w2","count"
"of","the",43
"in","the",41
"to","be",28
"for","the",19
"will","be",19
"of","our",17
"at","the",14
"and","the",13
"from","the",13
"have","a",13
"in","a",13
"you","have",13
"we","have",12
"i","have",11
"is","to",11
"it","is",11
"of","you",10
"this","is",10
"to","our",10
"to","the",10
"able","to",9
"is","the",9
"of","their",9
"on","the",9
"with","the",9
"and","a",8
"back","to",8
"many","of",8
"with","a",8
"a","new",7
"as","a",7
"as","the",7
"by","the",7
"have","been",7
"that","i",7
"the","long",7
"years","ago",7
"a","great",6
"all","of",6
"come","to",6
"i","am",6
"is","a",6
"new","york",6
"of","a",6
"some","of",6
"when","we",6
"would","be",6
"in","new",5
"now","is",5
"out","of",5
"the","time",5
"there","is",5
"to","make",5
"we","can",5
"and","we",4
"as","we",4
"as","well",4
"be","the",4
"for","all",4
"from","a",4
"had","been",4
"into","a",4
"out","the",4
"that","the",4
"that","we",4
"there","are",4
"to","a",4
"to","take",4
"to","you",4
"with","this",4
"a","larger",3
"be","a",3
"but","a",3
"come","from",3
"continue","to",3
"for","many",3
"given","the",3
"hope","that",3
"in","his",3
"is","an",3
"is","no",3
"is","still",3
"let","us",3
"needed","to",3
"of","this",3
"on","this",3
"so","we",3
"something","that",3
"take","the",3
"to","this",3
"to","work",3
"us","not",3
"was","a",3
"we","are",3
"what","will",3
"will","go",3
"will","have",3
"with","our",3
"with","you",3
"a","beautiful",2
"ahead","we",2
"am","not",2
"are","those",2
"asking","the",2
"be","content",2
"been","the",2
"but","by",2
"but","not",2
"but","we",2
"by","their",2
"can","and",2
"day","of",2
"give","us",2
"has","come",2
"hope","this",2
"hope","to",2
"i","still",2
"into","the",2
"left","you",2
"light","of",2
"like","a",2
"make","the",2
"moment","this",2
"of","all",2
"of","great",2
"of","now",2
"our","children",2
"see","it",2
"stand","on",2
"still","have",2
"summer","of",2
"that","day",2
"that","some",2
"the","great",2
"the","life",2
"the","south",2
"there","will",2
"they","have",2
"they","were",2
"thirst","for",2
"today","and",2
"up","for",2
"up","with",2
"we","hold",2
"well","as",2
"when","the",2
"which","leads",2
"who","had",2
"will","give",2
"work","with",2
